Entity,Code,Year,WHO region
Saint Vincent and the Grenadines,VCT,2017,Americas
Samoa,WSM,2017,Western Pacific
San Marino,SMR,2017,Europe
Sao Tome and Principe,STP,2017,Africa
Saudi Arabia,SAU,2017,Eastern Mediterranean
Senegal,SEN,2017,Africa
Serbia,SRB,2017,Europe
Seychelles,SYC,2017,Africa
Sierra Leone,SLE,2017,Africa
Singapore,SGP,2017,Western Pacific
Slovakia,SVK,2017,Europe
Slovenia,SVN,2017,Europe
Solomon Islands,SLB,2017,Western Pacific
Somalia,SOM,2017,Eastern Mediterranean
South Africa,ZAF,2017,Africa
South Korea,KOR,2017,Western Pacific
South Sudan,SSD,2017,Africa
Spain,ESP,2017,Europe
Sri Lanka,LKA,2017,South-East Asia
Sudan,SDN,2017,Eastern Mediterranean
Suriname,SUR,2017,Americas
Sweden,SWE,2017,Europe
Switzerland,CHE,2017,Europe
Syria,SYR,2017,Eastern Mediterranean
Tajikistan,TJK,2017,Europe
Tanzania,TZA,2017,Africa
Thailand,THA,2017,South-East Asia
Timor,TLS,2017,South-East Asia
Togo,TGO,2017,Africa
Tonga,TON,2017,Western Pacific
Trinidad and Tobago,TTO,2017,Americas
Tunisia,TUN,2017,Eastern Mediterranean
Turkey,TUR,2017,Europe
Turkmenistan,TKM,2017,Europe
Tuvalu,TUV,2017,Western Pacific
Uganda,UGA,2017,Africa
Ukraine,UKR,2017,Europe
United Arab Emirates,ARE,2017,Eastern Mediterranean
United Kingdom,GBR,2017,Europe
United States,USA,2017,Americas
Uruguay,URY,2017,Americas
Uzbekistan,UZB,2017,Europe
Vanuatu,VUT,2017,Western Pacific
Venezuela,VEN,2017,Americas
Vietnam,VNM,2017,Western Pacific
Yemen,YEM,2017,Eastern Mediterranean
Zambia,ZMB,2017,Africa
Zimbabwe,ZWE,2017,Africa
