country,date,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,source,status,url
DominicanRepublic,2021-02-19,1172161,NA,NA,NA,manually,pdf,https://www.msp.gob.do/web/wp-content/uploads/2021/02/Boletin-COVID-19-no.338.pdf
Estonia,2021-02-19,884985,NA,NA,NA,manually,automated,https://koroonakaart.ee/en
FrenchPolynesia,2021-02-19,NA,0,NA,NA,manually,without_information,https://www.presidence.pf/?s=Coronavirus+COVID-19+le+point+sur+la+situation
Georgia,2021-02-19,NA,0,NA,NA,manually,not_yet_automated_daily,https://stopcov.ge/en/
Germany,2021-02-19,NA,0,NA,NA,manually,xslx,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Situationsberichte/Okt_2020/Archiv_Oktober.html
Grenada,2021-02-19,NA,0,NA,NA,manually,facebook,https://web.facebook.com/HealthGrenada/photos/a.570448523487244/952200915312001
Guyana,2021-02-19,NA,0,NA,NA,manually,image,https://www.health.gov.gy/index.php/component/k2/item/354-guyana-covid-19-dashboard
Honduras,2021-02-19,NA,0,NA,NA,manually,image,http://www.desastres.hn/COVID-19/COVID-19.png
HongKong,2021-02-19,NA,0,NA,NA,manually,pdf,https://www.chp.gov.hk/files/pdf/statistics_on_covid_19_testing.pdf
Iraq,2021-02-19,NA,0,NA,NA,manually,image,https://www.facebook.com/MOH.GOV.IQ
Israel,2021-02-19,9925207,0,NA,NA,manually,not_yet_automated_daily,https://datadashboard.health.gov.il/COVID-19/general
Jamaica,2021-02-19,192988,NA,NA,NA,manually,automated,https://www.moh.gov.jm/covid-19-clinical-management-summary-for-friday-february-19-2021/
Japan,2021-02-19,8215186,NA,NA,NA,manually,automated,https://www.mhlw.go.jp/stf/newpage_16877.html
Jordan,2021-02-19,NA,0,NA,NA,manually,automated,https://corona.moh.gov.jo/en
Kazakhstan,2021-02-19,NA,0,NA,NA,manually,special_dashboard,https://hls.kz/
Kosovo,2021-02-19,NA,0,NA,NA,manually,facebook,https://www.facebook.com/IKSHPK
Kuwait,2021-02-19,NA,0,NA,NA,manually,twitter,https://twitter.com/KUWAIT_MOH
Kyrgyzstan,2021-02-19,NA,0,NA,NA,manually,image,http://www.med.kg/ru/informatsii.html
Latvia,2021-02-19,NA,0,NA,NA,manually,automated,https://spkc.maps.arcgis.com/apps/opsdashboard/index.html#/4469c1fb01ed43cea6f20743ee7d5939
Lithuania,2021-02-19,NA,0,NA,NA,manually,automated,https://koronastop.lrv.lt/en/
Luxembourg,2021-02-19,2051326,0,NA,NA,manually,not_yet_automated_daily,https://msan.gouvernement.lu/fr/graphiques-evolution.html
Malaysia,2021-02-19,NA,0,NA,NA,manually,facebook,https://www.facebook.com/kementeriankesihatanmalaysia/photos/10157490776386237
Maldives,2021-02-19,NA,0,NA,NA,manually,twitter,https://twitter.com/HPA_MV/status/1348675860627419136
Malta,2021-02-19,NA,0,NA,NA,manually,automated,https://timesofmalta.com/articles/view/watch-live-daily-coronavirus-briefing.790073
Mauritania,2021-02-19,NA,0,202248,0,manually,automated,https://africacdc.org/covid-19/
Moldova,2021-02-19,NA,0,NA,NA,manually,not_yet_automated_daily,https://msmps.gov.md/?s=cazuri+de+COVID-19
Montenegro,2021-02-19,NA,0,NA,NA,manually,without_information,https://www.ijzcg.me/me/coronainfocg
Netherlands,2021-02-19,NA,0,NA,NA,manually,not_yet_automated_weekly,https://www.rivm.nl/en/novel-coronavirus-covid-19/current-information
Oman,2021-02-19,NA,0,NA,NA,manually,twitter,https://twitter.com/OmanVSCovid19
Panama,2021-02-19,NA,0,NA,NA,manually,twitter,https://twitter.com/MINSAPma/status/1325931093804113925/photo/1
PapuaNewGuinea,2021-02-19,NA,0,NA,NA,manually,problems_webpage,https://covid19.info.gov.pg/
Paraguay,2021-02-19,NA,0,NA,NA,manually,special_dashboard,https://www.mspbs.gov.py/reporte-covid19.html
Peru,2021-02-19,NA,0,NA,NA,manually,xslx,https://covid19.minsa.gob.pe/sala_situacional.asp
Philippines,2021-02-19,NA,0,NA,NA,manually,special_dashboard,https://www.doh.gov.ph/covid19tracker
Poland,2021-02-19,NA,0,NA,NA,manually,image,https://twitter.com/MZ_GOV_PL
Russia,2021-02-19,108702691,NA,NA,NA,manually,automated,https://www.rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=16932&sphrase_id=3138611
SaintKittsandNevis,2021-02-19,NA,0,NA,NA,manually,special_dashboard,https://covid19.gov.kn/
SaintVincentandtheGrenadines,2021-02-19,NA,0,NA,NA,manually,image,https://www.facebook.com/SVGHEALTH/photos
SaudiArabia,2021-02-19,NA,0,NA,NA,manually,automated,https://covid19.moh.gov.sa/
Scotland,2021-02-19,NA,0,NA,NA,manually,special_dashboard,https://public.tableau.com/profile/phs.covid.19#!/vizhome/COVID-19DailyDashboard_15960160643010/Dailyupdate
Seychelles,2021-02-19,NA,0,NA,NA,manually,automated,https://africacdc.org/covid-19/
SriLanka,2021-02-19,NA,0,NA,NA,manually,automated,https://www.hpb.health.gov.lk/en
Sudan,2021-02-19,NA,0,NA,NA,manually,automated,https://africacdc.org/covid-19/
Sweden,2021-02-19,NA,0,NA,NA,manually,pdf,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/antalet-testade-for-covid-19/
Tajikistan,2021-02-19,NA,0,NA,NA,manually,without_information,https://eurasianet.org/dashboard-coronavirus-in-eurasia
Thailand,2021-02-19,2692397,18920,2692397,18920,manually,manually,http://nextcloud.dmsc.moph.go.th/index.php/s/wbioWZAQfManokc
TheBahamas,2021-02-19,NA,0,NA,NA,manually,facebook,https://www.facebook.com/MOHBahamas/
TrinidadandTobago,2021-02-19,NA,0,NA,NA,manually,pdf,http://www.health.gov.tt/sitepages/default.aspx?id=293
UnitedRepublicofTanzania,2021-02-19,NA,0,NA,NA,manually,automated,https://africacdc.org/covid-19/
US,2021-02-19,345402272,0,NA,NA,NA,NA,NA
Uzbekistan,2021-02-19,NA,0,NA,NA,manually,without_information,https://t.me/koronavirusinfouz/3470
Venezuela,2021-02-19,NA,0,NA,NA,manually,without_information,https://covid19.patria.org.ve/?s=de+la+lucha+contra+la+COVID-19%3A
Vietnam,2021-02-19,NA,0,NA,NA,manually,without_information,https://ncov.moh.gov.vn/?fbclid=IwAR1JDjulr5Ni19WcUWqQqugrEN7Ta6HcGEMqEhdgzifWiSGlIxwknKr9VuU
