country,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,date,source,status,url,comentarios,frecuencia,cambiar status
Japan,NA,0,NA,NA,2021-02-28,manually,automated,https://www.mhlw.go.jp/stf/houdou/houdou_list_202007.html,NA,NA,NA
Jordan,NA,0,NA,NA,2021-02-28,manually,automated,https://corona.moh.gov.jo/en,NA,NA,NA
Kazakhstan,NA,0,NA,NA,2021-02-28,manually,special_dashboard,https://hls.kz/,NA,NA,NA
Kosovo,307332,NA,NA,NA,2021-02-28,manually,facebook,https://www.facebook.com/IKSHPK,NA,NA,NA
Kuwait,1784499,NA,NA,NA,2021-02-28,manually,twitter,https://twitter.com/KUWAIT_MOH,NA,NA,NA
Kyrgyzstan,NA,0,NA,NA,2021-02-28,manually,image,http://www.med.kg/ru/informatsii.html,NA,NA,NA
Latvia,NA,0,NA,NA,2021-02-28,manually,automated,https://spkc.maps.arcgis.com/apps/opsdashboard/index.html#/4469c1fb01ed43cea6f20743ee7d5939,NA,NA,NA
Lithuania,NA,0,NA,NA,2021-02-28,manually,automated,https://koronastop.lrv.lt/en/,NA,NA,NA
Luxembourg,2123853,NA,NA,NA,2021-02-28,manually,not_yet_automated_daily,https://msan.gouvernement.lu/fr/graphiques-evolution.html,NA,NA,NA
Malaysia,NA,0,NA,NA,2021-02-28,manually,facebook,https://www.facebook.com/kementeriankesihatanmalaysia/photos/10157490776386237,NA,NA,NA
Maldives,523778,NA,NA,NA,2021-02-28,manually,twitter,https://twitter.com/HPA_MV/status/1366073137381670914,NA,NA,NA
Malta,NA,0,NA,NA,2021-02-28,manually,automated,https://timesofmalta.com/articles/view/watch-live-daily-coronavirus-briefing.790073,NA,NA,NA
Moldova,717590,NA,NA,NA,2021-02-28,manually,not_yet_automated_daily,https://msmps.gov.md/comunicare/comunicate/597-cazuri-de-covid-19-inregistrate-in-ultimele-24-ore/,NA,NA,NA
Montenegro,NA,0,NA,NA,2021-02-28,manually,without_information,https://www.ijzcg.me/me/coronainfocg,NA,NA,NA
Netherlands,NA,0,NA,NA,2021-02-28,manually,not_yet_automated_weekly,https://www.rivm.nl/en/novel-coronavirus-covid-19/current-information,NA,NA,NA
Oman,NA,0,NA,NA,2021-02-28,manually,twitter,https://twitter.com/OmanVSCovid19,NA,NA,NA
Panama,1908448,NA,NA,NA,2021-02-28,manually,twitter,https://twitter.com/MINSAPma/status/1366177365630595074/photo/1,NA,NA,NA
PapuaNewGuinea,NA,0,NA,NA,2021-02-28,manually,problems_webpage,https://covid19.info.gov.pg/,NA,NA,NA
Paraguay,NA,0,NA,NA,2021-02-28,manually,special_dashboard,https://www.mspbs.gov.py/reporte-covid19.html,NA,NA,NA
Peru,7584699,NA,NA,NA,2021-02-28,manually,xslx,https://covid19.minsa.gob.pe/sala_situacional.asp,NA,NA,NA
Philippines,8785105,0,NA,NA,2021-02-28,manually,special_dashboard,https://www.doh.gov.ph/covid19tracker,NA,NA,NA
Poland,9868422,NA,NA,NA,2021-02-28,manually,image,https://twitter.com/MZ_GOV_PL,NA,NA,NA
Russia,111345909,NA,NA,NA,2021-02-28,manually,automated,https://www.rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=16999&sphrase_id=3150426,NA,NA,NA
SaintKittsandNevis,NA,0,NA,NA,2021-02-28,manually,special_dashboard,https://covid19.gov.kn/,NA,NA,NA
SaintVincentandtheGrenadines,NA,0,NA,NA,2021-02-28,manually,image,https://www.facebook.com/SVGHEALTH/photos,NA,NA,NA
SaudiArabia,13633077,NA,NA,NA,2021-02-28,manually,automated,https://covid19.moh.gov.sa/,NA,NA,NA
Scotland,NA,0,NA,NA,2021-02-28,manually,special_dashboard,https://public.tableau.com/profile/phs.covid.19#!/vizhome/COVID-19DailyDashboard_15960160643010/Dailyupdate,NA,NA,NA
Seychelles,NA,0,NA,NA,2021-02-28,manually,automated,https://africacdc.org/covid-19/,NA,NA,NA
Slovakia,NA,0,NA,NA,2021-02-28,manually,automated,https://korona.gov.sk/,NA,NA,NA
SriLanka,2086432,NA,NA,NA,2021-02-28,manually,automated,https://www.hpb.health.gov.lk/en,NA,NA,NA
Sudan,NA,0,NA,NA,2021-02-28,manually,automated,https://africacdc.org/covid-19/,NA,NA,NA
Sweden,NA,0,NA,NA,2021-02-28,manually,pdf,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/antalet-testade-for-covid-19/,NA,NA,NA
Tajikistan,NA,0,NA,NA,2021-02-28,manually,without_information,https://eurasianet.org/dashboard-coronavirus-in-eurasia,NA,NA,NA
Thailand,2824673,NA,NA,NA,2021-02-28,manually,manually,http://nextcloud.dmsc.moph.go.th/index.php/s/wbioWZAQfManokc,NA,NA,NA
TheBahamas,NA,0,NA,NA,2021-02-28,manually,facebook,https://www.facebook.com/MOHBahamas/,NA,NA,NA
TrinidadandTobago,96180,NA,NA,NA,2021-02-28,manually,pdf,https://health.gov.tt/covid-19-update-sunday-28th-february-2021,NA,NA,NA
UnitedRepublicofTanzania,NA,0,NA,NA,2021-02-28,manually,automated,https://africacdc.org/covid-19/,NA,NA,NA
Uzbekistan,NA,0,NA,NA,2021-02-28,manually,without_information,https://t.me/koronavirusinfouz/3470,NA,NA,NA
Venezuela,NA,0,NA,NA,2021-02-28,manually,without_information,NA,NA,NA,NA
Vietnam,NA,0,NA,NA,2021-02-28,manually,without_information,https://ncov.moh.gov.vn/?fbclid=IwAR1JDjulr5Ni19WcUWqQqugrEN7Ta6HcGEMqEhdgzifWiSGlIxwknKr9VuU,NA,NA,NA
